site_id,year,treatment_start_year,did_eligible,target_area,control_area,precip_target_area,precip_control_area
alta and snowbird cloud seeding program,2000,2015,True,alta and snowbird ski resorts,climatologically similar nearby area,561.9178538252809,603.6264016951651
alta and snowbird cloud seeding program,2001,2015,True,alta and snowbird ski resorts,climatologically similar nearby area,548.5433924707204,581.7637148585899
alta and snowbird cloud seeding program,2002,2015,True,alta and snowbird ski resorts,climatologically similar nearby area,570.6922134525173,559.8143507658053
alta and snowbird cloud seeding program,2003,2015,True,alta and snowbird ski resorts,climatologically similar nearby area,595.0757464102006,582.6746565829933
alta and snowbird cloud seeding program,2004,2015,True,alta and snowbird ski resorts,climatologically similar nearby area,553.6461656319166,587.1475106089327
alta and snowbird cloud seeding program,2005,2015,True,alta and snowbird ski resorts,climatologically similar nearby area,556.1465760762704,547.9013127985439
alta and snowbird cloud seeding program,2006,2015,True,alta and snowbird ski resorts,climatologically similar nearby area,603.9803203876847,544.0945688864509
alta and snowbird cloud seeding program,2007,2015,True,alta and snowbird ski resorts,climatologically similar nearby area,586.1858682288228,568.9535765742412
alta and snowbird cloud seeding program,2008,2015,True,alta and snowbird ski resorts,climatologically similar nearby area,557.7631403516262,591.0409031124486
alta and snowbird cloud seeding program,2009,2015,True,alta and snowbird ski resorts,climatologically similar nearby area,585.5640010896491,575.4765099663355
alta and snowbird cloud seeding program,2010,2015,True,alta and snowbird ski resorts,climatologically similar nearby area,562.9145576796884,535.075087945225
alta and snowbird cloud seeding program,2011,2015,True,alta and snowbird ski resorts,climatologically similar nearby area,565.3567561607435,556.9293889012289
alta and snowbird cloud seeding program,2012,2015,True,alta and snowbird ski resorts,climatologically similar nearby area,585.5490567891509,577.6506784101406
alta and snowbird cloud seeding program,2013,2015,True,alta and snowbird ski resorts,climatologically similar nearby area,534.167993883555,580.1083598918542
alta and snowbird cloud seeding program,2014,2015,True,alta and snowbird ski resorts,climatologically similar nearby area,541.3770541871742,633.8135544197452
alta and snowbird cloud seeding program,2015,2015,True,alta and snowbird ski resorts,climatologically similar nearby area,613.3634633862567,552.3503014400251
alta and snowbird cloud seeding program,2016,2015,True,alta and snowbird ski resorts,climatologically similar nearby area,579.4653906124058,602.1397310458968
alta and snowbird cloud seeding program,2017,2015,True,alta and snowbird ski resorts,climatologically similar nearby area,626.9428842463833,629.2278277082072
alta and snowbird cloud seeding program,2018,2015,True,alta and snowbird ski resorts,climatologically similar nearby area,614.0166931302821,651.2862436355699
alta and snowbird cloud seeding program,2019,2015,True,alta and snowbird ski resorts,climatologically similar nearby area,598.9017983919363,586.890064420401
alta and snowbird cloud seeding program,2020,2015,True,alta and snowbird ski resorts,climatologically similar nearby area,667.4264604530612,611.785736318005
alta and snowbird cloud seeding program,2021,2015,True,alta and snowbird ski resorts,climatologically similar nearby area,627.2449282988906,616.2440089299662
alta and snowbird cloud seeding program,2022,2015,True,alta and snowbird ski resorts,climatologically similar nearby area,631.6213080453313,609.3870432888323
alta and snowbird cloud seeding program,2023,2015,True,alta and snowbird ski resorts,climatologically similar nearby area,601.996911353909,604.5288699690174
alta and snowbird cloud seeding program,2024,2015,True,alta and snowbird ski resorts,climatologically similar nearby area,630.5519278707741,620.3993847375011
alta and snowbird cloud seeding program,2025,2015,True,alta and snowbird ski resorts,climatologically similar nearby area,642.3239558956104,548.6938478695079
"alta and snowbird, utah",2000,2010,True,alta and snowbird ski resorts,climatologically similar nearby area,517.2251605644424,563.0517372515658
"alta and snowbird, utah",2001,2010,True,alta and snowbird ski resorts,climatologically similar nearby area,557.8924504586417,551.6544475915492
"alta and snowbird, utah",2002,2010,True,alta and snowbird ski resorts,climatologically similar nearby area,535.9840327520299,545.4381275805433
