site_id,state,year_month,year,month,target_area,control_area,target_area_precip_mm,control_area_precip_mm,target_area_seeded,seeding_season_months,treatment_start_year,did_eligible
alta_snowbird_ut,utah,2000-01,2000,1,"Alta and Snowbird ski resorts, Little Cottonwood Canyon",Big Cottonwood Canyon and adjacent Wasatch drainages,92.7,115.85,False,11;12;1;2;3;4,2010,True
alta_snowbird_ut,utah,2000-02,2000,2,"Alta and Snowbird ski resorts, Little Cottonwood Canyon",Big Cottonwood Canyon and adjacent Wasatch drainages,107.93,98.19,False,11;12;1;2;3;4,2010,True
alta_snowbird_ut,utah,2000-03,2000,3,"Alta and Snowbird ski resorts, Little Cottonwood Canyon",Big Cottonwood Canyon and adjacent Wasatch drainages,123.9,53.73,False,11;12;1;2;3;4,2010,True
alta_snowbird_ut,utah,2000-04,2000,4,"Alta and Snowbird ski resorts, Little Cottonwood Canyon",Big Cottonwood Canyon and adjacent Wasatch drainages,83.43,63.26,False,11;12;1;2;3;4,2010,True
alta_snowbird_ut,utah,2000-05,2000,5,"Alta and Snowbird ski resorts, Little Cottonwood Canyon",Big Cottonwood Canyon and adjacent Wasatch drainages,35.89,38.34,False,11;12;1;2;3;4,2010,True
alta_snowbird_ut,utah,2000-06,2000,6,"Alta and Snowbird ski resorts, Little Cottonwood Canyon",Big Cottonwood Canyon and adjacent Wasatch drainages,12.45,38.65,False,11;12;1;2;3;4,2010,True
alta_snowbird_ut,utah,2000-07,2000,7,"Alta and Snowbird ski resorts, Little Cottonwood Canyon",Big Cottonwood Canyon and adjacent Wasatch drainages,19.28,25.5,False,11;12;1;2;3;4,2010,True
alta_snowbird_ut,utah,2000-08,2000,8,"Alta and Snowbird ski resorts, Little Cottonwood Canyon",Big Cottonwood Canyon and adjacent Wasatch drainages,28.15,23.58,False,11;12;1;2;3;4,2010,True
alta_snowbird_ut,utah,2000-09,2000,9,"Alta and Snowbird ski resorts, Little Cottonwood Canyon",Big Cottonwood Canyon and adjacent Wasatch drainages,57.4,40.41,False,11;12;1;2;3;4,2010,True
alta_snowbird_ut,utah,2000-10,2000,10,"Alta and Snowbird ski resorts, Little Cottonwood Canyon",Big Cottonwood Canyon and adjacent Wasatch drainages,78.7,70.6,False,11;12;1;2;3;4,2010,True
alta_snowbird_ut,utah,2000-11,2000,11,"Alta and Snowbird ski resorts, Little Cottonwood Canyon",Big Cottonwood Canyon and adjacent Wasatch drainages,124.77,90.93,False,11;12;1;2;3;4,2010,True
alta_snowbird_ut,utah,2000-12,2000,12,"Alta and Snowbird ski resorts, Little Cottonwood Canyon",Big Cottonwood Canyon and adjacent Wasatch drainages,118.31,122.83,False,11;12;1;2;3;4,2010,True
alta_snowbird_ut,utah,2001-01,2001,1,"Alta and Snowbird ski resorts, Little Cottonwood Canyon",Big Cottonwood Canyon and adjacent Wasatch drainages,113.28,113.85,False,11;12;1;2;3;4,2010,True
alta_snowbird_ut,utah,2001-02,2001,2,"Alta and Snowbird ski resorts, Little Cottonwood Canyon",Big Cottonwood Canyon and adjacent Wasatch drainages,131.11,106.56,False,11;12;1;2;3;4,2010,True
alta_snowbird_ut,utah,2001-03,2001,3,"Alta and Snowbird ski resorts, Little Cottonwood Canyon",Big Cottonwood Canyon and adjacent Wasatch drainages,121.62,133.73,False,11;12;1;2;3;4,2010,True
alta_snowbird_ut,utah,2001-04,2001,4,"Alta and Snowbird ski resorts, Little Cottonwood Canyon",Big Cottonwood Canyon and adjacent Wasatch drainages,116.65,70.56,False,11;12;1;2;3;4,2010,True
alta_snowbird_ut,utah,2001-05,2001,5,"Alta and Snowbird ski resorts, Little Cottonwood Canyon",Big Cottonwood Canyon and adjacent Wasatch drainages,59.11,65.51,False,11;12;1;2;3;4,2010,True
alta_snowbird_ut,utah,2001-06,2001,6,"Alta and Snowbird ski resorts, Little Cottonwood Canyon",Big Cottonwood Canyon and adjacent Wasatch drainages,38.59,43.7,False,11;12;1;2;3;4,2010,True
alta_snowbird_ut,utah,2001-07,2001,7,"Alta and Snowbird ski resorts, Little Cottonwood Canyon",Big Cottonwood Canyon and adjacent Wasatch drainages,22.86,27.57,False,11;12;1;2;3;4,2010,True
alta_snowbird_ut,utah,2001-08,2001,8,"Alta and Snowbird ski resorts, Little Cottonwood Canyon",Big Cottonwood Canyon and adjacent Wasatch drainages,32.32,32.89,False,11;12;1;2;3;4,2010,True
alta_snowbird_ut,utah,2001-09,2001,9,"Alta and Snowbird ski resorts, Little Cottonwood Canyon",Big Cottonwood Canyon and adjacent Wasatch drainages,50.73,50.26,False,11;12;1;2;3;4,2010,True
alta_snowbird_ut,utah,2001-10,2001,10,"Alta and Snowbird ski resorts, Little Cottonwood Canyon",Big Cottonwood Canyon and adjacent Wasatch drainages,99.54,75.42,False,11;12;1;2;3;4,2010,True
alta_snowbird_ut,utah,2001-11,2001,11,"Alta and Snowbird ski resorts, Little Cottonwood Canyon",Big Cottonwood Canyon and adjacent Wasatch drainages,94.56,107.46,False,11;12;1;2;3;4,2010,True
alta_snowbird_ut,utah,2001-12,2001,12,"Alta and Snowbird ski resorts, Little Cottonwood Canyon",Big Cottonwood Canyon and adjacent Wasatch drainages,134.36,87.54,False,11;12;1;2;3;4,2010,True
alta_snowbird_ut,utah,2002-01,2002,1,"Alta and Snowbird ski resorts, Little Cottonwood Canyon",Big Cottonwood Canyon and adjacent Wasatch drainages,115.26,83.57,False,11;12;1;2;3;4,2010,True
alta_snowbird_ut,utah,2002-02,2002,2,"Alta and Snowbird ski resorts, Little Cottonwood Canyon",Big Cottonwood Canyon and adjacent Wasatch drainages,92.05,157.41,False,11;12;1;2;3;4,2010,True
alta_snowbird_ut,utah,2002-03,2002,3,"Alta and Snowbird ski resorts, Little Cottonwood Canyon",Big Cottonwood Canyon and adjacent Wasatch drainages,108.34,99.75,False,11;12;1;2;3;4,2010,True
alta_snowbird_ut,utah,2002-04,2002,4,"Alta and Snowbird ski resorts, Little Cottonwood Canyon",Big Cottonwood Canyon and adjacent Wasatch drainages,96.27,71.81,False,11;12;1;2;3;4,2010,True
alta_snowbird_ut,utah,2002-05,2002,5,"Alta and Snowbird ski resorts, Little Cottonwood Canyon",Big Cottonwood Canyon and adjacent Wasatch drainages,52.28,63.56,False,11;12;1;2;3;4,2010,True
alta_snowbird_ut,utah,2002-06,2002,6,"Alta and Snowbird ski resorts, Little Cottonwood Canyon",Big Cottonwood Canyon and adjacent Wasatch drainages,41.57,41.51,False,11;12;1;2;3;4,2010,True
alta_snowbird_ut,utah,2002-07,2002,7,"Alta and Snowbird ski resorts, Little Cottonwood Canyon",Big Cottonwood Canyon and adjacent Wasatch drainages,28.39,25.21,False,11;12;1;2;3;4,2010,True
alta_snowbird_ut,utah,2002-08,2002,8,"Alta and Snowbird ski resorts, Little Cottonwood Canyon",Big Cottonwood Canyon and adjacent Wasatch drainages,45.14,35.65,False,11;12;1;2;3;4,2010,True
