site_id,site_latitude,site_longitude,year_month,year,month,target_area_precip_mm,control_area_precip_mm,target_area_seeded,bogus_control,state,project_name
site_000,33.7,242.08,2000-01,2000,1,14.101982,222.8527,False,False,california,
site_000,33.7,242.08,2000-02,2000,2,116.2405,237.54214,False,False,california,
site_000,33.7,242.08,2000-03,2000,3,51.322937,49.105644,False,False,california,
site_000,33.7,242.08,2000-04,2000,4,40.11154,55.160522,False,False,california,
site_000,33.7,242.08,2000-05,2000,5,3.1929016,21.0495,False,False,california,
site_000,33.7,242.08,2000-06,2000,6,1.1444092,15.449524,False,False,california,
site_000,33.7,242.08,2000-07,2000,7,0.23651123,0.0,False,False,california,
site_000,33.7,242.08,2000-08,2000,8,1.3008118,0.23651123,False,False,california,
site_000,33.7,242.08,2000-09,2000,9,8.811951,8.296967,False,False,california,
site_000,33.7,242.08,2000-10,2000,10,35.59494,106.07529,False,False,california,
site_000,33.7,242.08,2000-11,2000,11,2.3460388,3.3187866,False,False,california,
site_000,33.7,242.08,2000-12,2000,12,2.6607513,6.385803,False,False,california,
site_000,33.7,242.08,2001-01,2001,1,88.63258,98.62518,False,False,california,
site_000,33.7,242.08,2001-02,2001,2,166.14532,119.84253,False,False,california,
site_000,33.7,242.08,2001-03,2001,3,52.32811,70.18471,False,False,california,
site_000,33.7,242.08,2001-04,2001,4,35.820007,86.17401,False,False,california,
site_000,33.7,242.08,2001-05,2001,5,2.483368,1.1234283,False,False,california,
site_000,33.7,242.08,2001-06,2001,6,1.5449524,0.0,False,False,california,
site_000,33.7,242.08,2001-07,2001,7,2.9563904,8.869171,False,False,california,
site_000,33.7,242.08,2001-08,2001,8,0.23651123,0.0,False,False,california,
site_000,33.7,242.08,2001-09,2001,9,0.8010864,0.45776367,False,False,california,
site_000,33.7,242.08,2001-10,2001,10,2.5424957,25.484085,False,False,california,
site_000,33.7,242.08,2001-11,2001,11,31.414032,92.811584,False,False,california,
site_000,33.7,242.08,2001-12,2001,12,21.640778,161.1824,False,False,california,
site_000,33.7,242.08,2002-01,2002,1,17.974854,63.266754,False,False,california,
site_000,33.7,242.08,2002-02,2002,2,5.393982,26.916504,False,False,california,
site_000,33.7,242.08,2002-03,2002,3,16.792297,73.55499,False,False,california,
site_000,33.7,242.08,2002-04,2002,4,6.2942505,28.266907,False,False,california,
site_000,33.7,242.08,2002-05,2002,5,5.7353973,14.6045685,False,False,california,
site_000,33.7,242.08,2002-06,2002,6,1.6021729,0.11444092,False,False,california,
site_000,33.7,242.08,2002-07,2002,7,0.53215027,1.0643005,False,False,california,
site_000,33.7,242.08,2002-08,2002,8,0.41389465,0.0,False,False,california,
site_000,33.7,242.08,2002-09,2002,9,3.0899048,6.980896,False,False,california,
site_000,33.7,242.08,2002-10,2002,10,4.4937134,0.059127808,False,False,california,
site_000,33.7,242.08,2002-11,2002,11,51.04065,95.443726,False,False,california,
site_000,33.7,242.08,2002-12,2002,12,53.98369,117.66434,False,False,california,
site_000,33.7,242.08,2003-01,2003,1,2.6016235,16.319275,False,False,california,
site_000,33.7,242.08,2003-02,2003,2,103.87421,70.97626,False,False,california,
site_000,33.7,242.08,2003-03,2003,3,73.791504,53.333282,False,False,california,
site_000,33.7,242.08,2003-04,2003,4,44.403076,96.41647,False,False,california,
site_000,33.7,242.08,2003-05,2003,5,26.134491,54.279327,False,False,california,
site_000,33.7,242.08,2003-06,2003,6,3.8337708,0.0,False,False,california,
site_000,33.7,242.08,2003-07,2003,7,0.23651123,0.47302246,False,False,california,
site_000,33.7,242.08,2003-08,2003,8,0.47302246,4.7893524,False,False,california,
site_000,33.7,242.08,2003-09,2003,9,0.34332275,0.0,False,False,california,
site_000,33.7,242.08,2003-10,2003,10,3.0155182,3.074646,False,False,california,
site_000,33.7,242.08,2003-11,2003,11,18.882751,52.928925,False,False,california,
site_000,33.7,242.08,2003-12,2003,12,24.360657,165.67612,False,False,california,
site_000,33.7,242.08,2004-01,2004,1,11.707306,39.82258,False,False,california,
site_000,33.7,242.08,2004-02,2004,2,104.26521,116.26816,False,False,california,
site_000,33.7,242.08,2004-03,2004,3,20.931244,29.859543,False,False,california,
site_000,33.7,242.08,2004-04,2004,4,7.0381165,1.3160706,False,False,california,
site_000,33.7,242.08,2004-05,2004,5,2.3059845,7.036209,False,False,california,
