site_id,site_latitude,site_longitude,year_month,year,month,target_area_precip_mm,control_area_precip_mm,target_area_seeded,bogus_control,state,project_name
site_000,33.7,242.08,2000-01,2000,1,18.854,117.039,False,False,california,
site_000,33.7,242.08,2000-02,2000,2,92.927,168.769,False,False,california,
site_000,33.7,242.08,2000-03,2000,3,39.421,53.657,False,False,california,
site_000,33.7,242.08,2000-04,2000,4,19.702,48.984,False,False,california,
site_000,33.7,242.08,2000-05,2000,5,1.058,9.234,False,False,california,
site_000,33.7,242.08,2000-06,2000,6,0.0,22.04,False,False,california,
site_000,33.7,242.08,2000-07,2000,7,0.0,0.0,False,False,california,
site_000,33.7,242.08,2000-08,2000,8,0.0,0.0,False,False,california,
site_000,33.7,242.08,2000-09,2000,9,1.952,8.917,False,False,california,
site_000,33.7,242.08,2000-10,2000,10,36.794,65.925,False,False,california,
site_000,33.7,242.08,2000-11,2000,11,0.033,0.634,False,False,california,
site_000,33.7,242.08,2000-12,2000,12,0.0,1.403,False,False,california,
site_000,33.7,242.08,2001-01,2001,1,104.391,81.957,False,False,california,
site_000,33.7,242.08,2001-02,2001,2,155.931,71.068,False,False,california,
site_000,33.7,242.08,2001-03,2001,3,19.344,20.867,False,False,california,
site_000,33.7,242.08,2001-04,2001,4,19.831,66.074,False,False,california,
site_000,33.7,242.08,2001-05,2001,5,1.358,0.0,False,False,california,
site_000,33.7,242.08,2001-06,2001,6,1.075,0.0,False,False,california,
site_000,33.7,242.08,2001-07,2001,7,0.0,4.697,False,False,california,
site_000,33.7,242.08,2001-08,2001,8,0.0,0.0,False,False,california,
site_000,33.7,242.08,2001-09,2001,9,0.0,0.0,False,False,california,
site_000,33.7,242.08,2001-10,2001,10,0.0,7.672,False,False,california,
site_000,33.7,242.08,2001-11,2001,11,25.452,48.734,False,False,california,
site_000,33.7,242.08,2001-12,2001,12,25.425,100.162,False,False,california,
site_000,33.7,242.08,2002-01,2002,1,10.936,27.09,False,False,california,
site_000,33.7,242.08,2002-02,2002,2,6.806,20.242,False,False,california,
site_000,33.7,242.08,2002-03,2002,3,13.35,44.625,False,False,california,
site_000,33.7,242.08,2002-04,2002,4,4.06,19.391,False,False,california,
site_000,33.7,242.08,2002-05,2002,5,0.693,20.544,False,False,california,
site_000,33.7,242.08,2002-06,2002,6,0.0,0.022,False,False,california,
site_000,33.7,242.08,2002-07,2002,7,0.0,0.0,False,False,california,
site_000,33.7,242.08,2002-08,2002,8,0.023,0.0,False,False,california,
site_000,33.7,242.08,2002-09,2002,9,0.0,0.0,False,False,california,
site_000,33.7,242.08,2002-10,2002,10,0.819,0.0,False,False,california,
site_000,33.7,242.08,2002-11,2002,11,49.039,53.795,False,False,california,
site_000,33.7,242.08,2002-12,2002,12,66.471,87.513,False,False,california,
