site_idx,site_id,state,lat,lon,project_name
0,site_000,california,33.7,-117.92,
1,site_001,california,34.24,-116.91,
2,site_002,california,34.29,-117.65,
3,site_003,california,34.42,-119.7,
4,site_004,california,35.0,-120.33,
5,site_005,california,35.31,-120.44,
6,site_006,california,35.98,-118.84,Kern River Cloud Seeding Program
7,site_007,california,36.05,-119.82,
8,site_008,california,36.13,-118.86,
9,site_009,california,36.31,-117.55,
10,site_010,california,36.35,-119.19,
11,site_011,california,36.6,-121.89,
12,site_012,california,36.73,-119.5,Kings River Cloud Seeding Program
13,site_013,california,36.78,-119.42,
14,site_014,california,36.99,-119.79,Mokelumne Cloud Seeding Program
15,site_015,california,37.23,-119.51,
16,site_016,california,37.44,-120.5,
17,site_017,california,37.44,-119.24,
18,site_018,california,37.74,-120.28,Upper Tuolumne River Weather Modification Project
19,site_019,california,37.78,-122.28,
20,site_020,california,37.92,-121.17,
21,site_021,california,38.37,-119.53,Mokelumne / Lake Almanor
22,site_022,california,38.39,-120.0,
23,site_023,california,38.59,-119.88,
24,site_024,california,38.64,-121.33,
25,site_025,california,38.74,-120.44,
26,site_026,california,38.92,-119.99,
27,site_027,california,39.07,-120.14,
28,site_028,california,39.09,-120.8,
29,site_029,colorado,37.08,-105.27,
30,site_030,colorado,37.76,-107.72,
31,site_031,colorado,37.92,-107.84,
32,site_032,colorado,37.94,-107.81,Telluride / Upper San Miguel–San Juan Basin
33,site_033,colorado,38.07,-107.45,Eastern San Juan Mountains Cloud Seeding Program
34,site_034,colorado,38.64,-107.01,
35,site_035,colorado,38.73,-107.72,
36,site_036,colorado,38.85,-107.76,
37,site_037,colorado,39.04,-107.95,
38,site_038,colorado,39.07,-107.94,
39,site_039,colorado,39.55,-105.78,
40,site_040,colorado,39.6,-106.52,Central Colorado Program
41,site_041,colorado,39.76,-105.22,
42,site_042,colorado,39.8,-105.51,
43,site_043,colorado,40.15,-105.5,
44,site_044,idaho,40.76,-111.89,
45,site_045,idaho,42.25,-113.78,
46,site_046,idaho,42.86,-112.45,
47,site_047,idaho,43.47,-113.97,
48,site_048,idaho,43.53,-116.05,
49,site_049,idaho,43.61,-116.22,
50,site_050,idaho,43.62,-116.2,
51,site_051,idaho,43.98,-116.7,
52,site_052,idaho,44.07,-114.74,
53,site_053,idaho,44.08,-116.93,
54,site_054,idaho,44.2,-112.38,
55,site_055,idaho,44.33,-114.26,
56,site_056,idaho,44.62,-114.6,
57,site_057,idaho,45.9,-115.72,
58,site_058,kansas,38.89,-101.39,
59,site_059,kansas,39.01,-98.48,
60,site_060,montana,46.92,-114.08,
61,site_061,nevada,38.8,-116.42,
62,site_062,nevada,38.85,-118.77,
63,site_063,nevada,39.0,-117.47,
64,site_064,nevada,39.1,-120.03,
65,site_065,nevada,39.33,-120.18,
66,site_066,nevada,39.53,-119.81,
67,site_067,nevada,39.7,-118.65,
68,site_068,nevada,40.8,-117.06,
69,site_069,nevada,40.82,-115.73,
70,site_070,nevada,40.87,-116.19,
71,site_071,nevada,41.58,-115.78,
72,site_072,nevada,41.59,-118.55,
73,site_073,nevada,41.95,-116.1,
74,site_074,north_dakota,46.22,-98.93,
75,site_075,north_dakota,46.41,-103.5,
76,site_076,north_dakota,47.46,-97.13,
77,site_077,north_dakota,47.55,-101.0,
78,site_078,north_dakota,47.93,-97.03,
