site_id,n_unseeded_months,mean_gap_unseeded_mm,se_mm,ci95_mm
site_137,201,-1.8647,0.1092,0.214
site_110,260,-1.4557,0.0989,0.1939
site_053,240,-1.454,0.0562,0.1102
site_049,268,-1.2569,0.0502,0.0983
site_051,216,-1.2178,0.0523,0.1024
site_050,251,-1.1956,0.0456,0.0893
site_138,266,-1.1461,0.1036,0.2031
site_102,268,-1.0552,0.086,0.1687
site_009,180,-1.0511,0.1256,0.2462
site_104,268,-1.0503,0.0843,0.1653
site_098,260,-1.0247,0.0846,0.1657
site_054,224,-0.9719,0.0657,0.1288
site_047,272,-0.9228,0.0387,0.0759
site_055,270,-0.9091,0.0489,0.0958
site_097,255,-0.8172,0.076,0.149
site_045,252,-0.8129,0.0586,0.1149
site_111,244,-0.7945,0.0599,0.1175
site_099,254,-0.7921,0.072,0.1411
site_096,265,-0.7908,0.0751,0.1473
site_048,236,-0.7469,0.0319,0.0625
site_119,270,-0.7388,0.0483,0.0947
site_007,239,-0.7349,0.0668,0.1309
site_121,222,-0.7272,0.0548,0.1074
site_046,247,-0.7242,0.0534,0.1047
site_000,276,-0.7176,0.0862,0.169
site_001,263,-0.6982,0.1014,0.1988
site_036,237,-0.697,0.0734,0.1438
site_056,268,-0.6451,0.043,0.0843
site_058,192,-0.5933,0.0653,0.1279
site_004,276,-0.5636,0.058,0.1137
site_035,203,-0.5185,0.069,0.1353
site_040,180,-0.5125,0.0701,0.1373
site_117,276,-0.4936,0.0736,0.1442
site_010,136,-0.4907,0.0832,0.1631
site_114,270,-0.4513,0.0649,0.1273
site_113,269,-0.3768,0.0532,0.1043
site_112,269,-0.3633,0.0532,0.1044
site_135,184,-0.3407,0.0434,0.0852
site_100,276,-0.2666,0.0498,0.0977
site_019,276,-0.26,0.0546,0.107
site_129,232,-0.2554,0.046,0.0901
site_086,260,-0.1852,0.0555,0.1088
site_044,219,-0.1791,0.0258,0.0505
site_103,268,-0.1475,0.0305,0.0598
site_122,264,-0.1468,0.0207,0.0405
site_081,231,-0.1459,0.0425,0.0833
site_029,271,-0.1449,0.0434,0.085
site_105,270,-0.1416,0.0304,0.0596
site_020,268,-0.1377,0.0463,0.0907
site_115,36,-0.1348,0.0832,0.1631
site_130,272,-0.1275,0.0205,0.0403
site_116,271,-0.1123,0.0713,0.1397
site_075,222,-0.1081,0.0488,0.0956
site_107,271,-0.1044,0.0298,0.0585
site_060,273,-0.0948,0.0767,0.1502
site_080,273,-0.0851,0.0306,0.06
site_079,273,-0.0839,0.0309,0.0606
site_014,150,-0.0801,0.0167,0.0327
site_002,259,-0.0775,0.0421,0.0824
site_118,179,-0.0724,0.0714,0.14
site_120,236,-0.0708,0.028,0.0549
site_134,239,-0.0164,0.0526,0.1031
site_101,262,-0.0033,0.0193,0.0379
site_108,180,0.0,0.0,0.0
site_084,276,0.0,0.0,0.0
site_082,269,0.0,0.0,0.0
site_136,270,0.0,0.0,0.0
site_077,273,0.0,0.0,0.0
site_012,138,0.0,0.0,0.0
site_128,251,0.0,0.0,0.0
site_052,201,0.0,0.0,0.0
site_059,270,0.0,0.0,0.0
site_126,262,0.0,0.0,0.0
site_011,271,0.0031,0.0506,0.0991
site_090,216,0.0217,0.0447,0.0876
site_131,243,0.0316,0.0168,0.033
site_085,267,0.0396,0.0471,0.0923
site_016,154,0.085,0.0238,0.0466
site_005,227,0.1025,0.0379,0.0743
site_003,215,0.1035,0.0539,0.1056
site_067,264,0.1111,0.04,0.0784
site_062,113,0.1379,0.0682,0.1337
site_006,126,0.1386,0.0557,0.1092
site_013,232,0.1632,0.0231,0.0452
site_041,276,0.2148,0.0408,0.0799
site_133,265,0.2487,0.0409,0.0802
site_074,273,0.2515,0.0474,0.0928
site_039,215,0.2733,0.0283,0.0555
site_008,276,0.291,0.044,0.0862
site_078,273,0.3182,0.0482,0.0944
site_132,264,0.3458,0.0289,0.0567
site_076,270,0.3486,0.0533,0.1045
site_125,224,0.3678,0.0231,0.0452
site_124,267,0.3709,0.0212,0.0415
site_061,204,0.3748,0.05,0.098
site_068,205,0.3784,0.0552,0.1081
site_072,252,0.3841,0.047,0.092
site_088,264,0.4002,0.0886,0.1737
site_037,270,0.4189,0.0663,0.13
site_089,261,0.4266,0.0653,0.1281
site_038,269,0.4314,0.0675,0.1322
site_057,218,0.4663,0.0783,0.1534
site_024,269,0.4819,0.0664,0.1302
site_106,205,0.5147,0.0507,0.0993
site_018,129,0.5181,0.0784,0.1537
site_087,267,0.5238,0.0566,0.1109
site_034,249,0.5325,0.0665,0.1304
site_021,148,0.5538,0.0633,0.124
site_091,269,0.5871,0.0764,0.1498
site_070,211,0.5941,0.0598,0.1171
site_123,243,0.5961,0.0422,0.0827
site_032,183,0.599,0.0647,0.1268
site_063,252,0.6347,0.0532,0.1042
site_043,276,0.6671,0.0545,0.1068
site_069,245,0.6704,0.0583,0.1142
site_026,250,0.7763,0.0677,0.1327
site_023,270,0.813,0.0765,0.1499
site_066,252,0.8171,0.0842,0.165
site_071,253,0.8479,0.0574,0.1125
