site_id,n_unseeded_months,mean_gap_unseeded_mm,se_mm,ci95_mm
site_110,260,-44.24,3.0199,5.919
site_053,240,-44.1991,1.6937,3.3197
site_049,268,-38.2046,1.5051,2.95
site_051,216,-37.0055,1.5642,3.0658
site_050,251,-36.4292,1.394,2.7322
site_102,268,-32.0581,2.6286,5.152
site_104,268,-31.9106,2.5744,5.0458
site_009,180,-31.8738,3.8168,7.4809
site_098,260,-31.1467,2.5863,5.0691
site_054,224,-29.5286,1.9738,3.8686
site_047,272,-28.0438,1.1743,2.3016
site_055,270,-27.6221,1.4748,2.8907
site_097,255,-24.8589,2.3243,4.5555
site_045,252,-24.6687,1.7623,3.4541
site_111,244,-24.1587,1.8347,3.5961
site_099,254,-24.1313,2.2056,4.3229
site_096,265,-24.057,2.2983,4.5047
site_048,236,-22.7103,0.9628,1.8872
site_119,270,-22.4417,1.4686,2.8784
site_007,239,-22.2901,2.0236,3.9662
site_121,222,-22.1045,1.6685,3.2703
site_046,247,-22.0215,1.607,3.1498
site_000,276,-21.8884,2.6116,5.1188
site_036,237,-21.4348,2.2586,4.4268
site_001,263,-21.133,3.0841,6.0448
site_056,268,-19.5988,1.3026,2.5532
site_058,192,-18.0937,2.0066,3.9329
site_004,276,-17.1494,1.7689,3.467
site_035,203,-15.9944,2.1138,4.1431
site_040,180,-15.7876,2.147,4.2081
site_117,276,-14.9618,2.2487,4.4075
site_010,136,-14.9057,2.529,4.9568
site_114,270,-13.6929,1.9818,3.8842
site_113,269,-11.4546,1.6286,3.1921
site_112,269,-11.0438,1.6289,3.1927
site_135,184,-10.4362,1.3365,2.6195
site_100,276,-8.1207,1.5223,2.9837
site_019,276,-7.9415,1.6704,3.2739
site_129,232,-7.7054,1.4003,2.7447
site_086,260,-5.6487,1.7004,3.3327
site_044,219,-5.4366,0.7793,1.5273
site_103,268,-4.4884,0.932,1.8268
site_122,264,-4.4769,0.6296,1.2341
site_081,231,-4.4592,1.3049,2.5576
site_029,271,-4.3645,1.3279,2.6027
site_105,270,-4.3105,0.9285,1.82
site_020,268,-4.1951,1.4157,2.7748
site_115,36,-4.016,2.5596,5.0169
site_130,272,-3.8724,0.6252,1.2253
site_116,271,-3.3882,2.1689,4.2511
site_075,222,-3.3104,1.4904,2.9213
site_107,271,-3.1714,0.9115,1.7866
site_060,273,-3.0435,2.3389,4.5842
site_080,273,-2.6094,0.9394,1.8412
site_079,273,-2.5745,0.9477,1.8576
site_014,150,-2.4428,0.5089,0.9974
site_002,259,-2.384,1.2759,2.5009
site_118,179,-2.1996,2.1841,4.2808
site_120,236,-2.1323,0.8546,1.675
site_101,262,-0.113,0.5897,1.1559
site_126,262,0.0,0.0,0.0
site_128,251,0.0,0.0,0.0
site_082,269,0.0,0.0,0.0
site_084,276,0.0,0.0,0.0
site_108,180,0.0,0.0,0.0
site_136,270,0.0,0.0,0.0
site_077,273,0.0,0.0,0.0
site_059,270,0.0,0.0,0.0
site_052,201,0.0,0.0,0.0
site_012,138,0.0,0.0,0.0
site_011,271,0.0236,1.5281,2.9952
site_090,216,0.6321,1.3655,2.6763
site_131,243,0.9606,0.5112,1.0019
site_085,267,1.2055,1.4384,2.8193
site_016,154,2.5687,0.7241,1.4193
site_005,227,3.0817,1.149,2.2521
site_003,215,3.0832,1.6483,3.2307
site_006,126,4.1774,1.701,3.334
site_013,232,4.9438,0.7005,1.3729
site_041,276,6.5593,1.2489,2.4479
site_133,265,7.6658,1.2545,2.4589
site_074,273,7.6969,1.4512,2.8444
site_039,215,8.3477,0.8715,1.7082
site_008,276,8.8299,1.3405,2.6274
site_078,273,9.75,1.4711,2.8833
site_132,264,10.5013,0.878,1.721
site_076,270,10.6697,1.6323,3.1994
site_125,224,11.1707,0.7,1.3719
site_124,267,11.287,0.6452,1.2647
site_088,264,12.1619,2.7099,5.3115
site_037,270,12.6119,2.0205,3.9603
site_089,261,12.9358,1.9965,3.9132
site_038,269,12.9711,2.0526,4.0231
site_057,218,14.0865,2.3552,4.6161
site_024,269,14.5852,2.0167,3.9528
site_106,205,15.674,1.5513,3.0406
site_018,129,15.7162,2.3614,4.6283
site_087,267,15.9312,1.7281,3.3871
site_034,249,16.0944,2.0261,3.9711
site_021,148,16.8854,1.895,3.7143
site_091,269,17.7889,2.3242,4.5555
site_123,243,18.2202,1.2949,2.538
site_032,183,18.406,2.0021,3.9241
site_043,276,20.4293,1.6716,3.2763
site_026,250,23.6102,2.0553,4.0284
site_023,270,24.6838,2.3219,4.5509
site_094,269,25.9122,2.8049,5.4975
site_095,258,26.4799,2.9925,5.8652
site_033,10,28.9034,9.0736,17.7843
site_015,250,30.136,2.5492,4.9964
site_127,271,31.0211,2.1625,4.2385
site_042,178,34.0208,2.5403,4.9789
site_031,271,35.5772,2.5527,5.0032
site_083,276,37.2296,1.8896,3.7036
site_017,268,40.7631,2.6835,5.2597
site_022,263,44.707,3.1702,6.2135
site_109,222,45.9395,3.5785,7.0138
site_093,270,46.9085,3.6765,7.206
site_030,271,47.7942,2.6202,5.1355
site_025,253,50.489,3.9895,7.8194
site_027,269,50.6564,3.4192,6.7017
site_028,220,59.711,5.3928,10.5699
site_092,259,62.1945,4.8122,9.4319
