site_id,n_unseeded_months,mean_gap_unseeded_mm,se_mm,ci95_mm
site_110,296,-50.349,3.5518,6.9615
site_053,276,-36.9536,1.9385,3.7995
site_055,306,-35.5212,2.0965,4.1092
site_102,304,-35.4071,3.3656,6.5965
site_104,304,-32.6338,3.2423,6.3549
site_051,252,-32.3113,1.9,3.724
site_054,260,-32.1491,2.4532,4.8083
site_098,296,-31.943,3.5381,6.9347
site_045,288,-29.7403,2.3444,4.5951
site_049,294,-29.6859,1.7864,3.5013
site_047,308,-29.2327,1.3877,2.7199
site_046,283,-28.3153,2.1579,4.2295
site_050,287,-27.845,1.6012,3.1383
site_099,290,-26.9251,2.497,4.8942
site_097,291,-25.6933,2.669,5.2312
site_096,301,-25.2287,2.6419,5.1781
site_036,273,-23.4405,1.3932,2.7308
site_111,280,-22.6841,2.0606,4.0388
site_009,216,-19.5356,2.2942,4.4966
site_114,306,-17.3426,2.4781,4.857
site_113,305,-17.2669,2.0319,3.9825
site_121,258,-17.0934,1.4973,2.9347
site_112,305,-16.9318,2.0243,3.9677
site_117,306,-14.8501,2.8465,5.5792
site_119,296,-14.7847,1.4341,2.8108
site_035,223,-14.1317,1.5849,3.1065
site_058,228,-13.3993,2.0926,4.1014
site_010,162,-12.8032,1.7695,3.4683
site_007,267,-12.7433,1.1695,2.2923
site_060,309,-11.4017,1.2555,2.4607
site_135,220,-10.089,1.3042,2.5563
site_048,272,-9.9804,0.8778,1.7204
site_100,307,-9.8611,1.8015,3.5309
site_000,306,-9.1935,1.5829,3.1026
site_041,276,-8.916,1.4747,2.8903
site_129,268,-7.8221,1.473,2.8871
site_086,296,-7.0069,2.3623,4.6302
site_044,243,-6.7953,0.9759,1.9128
site_103,304,-6.6808,1.8309,3.5886
site_056,294,-6.5763,1.042,2.0424
site_116,307,-5.2535,2.9798,5.8405
site_107,307,-5.1515,1.7644,3.4583
site_081,267,-4.2875,1.4879,2.9164
site_105,306,-4.2147,1.5848,3.1063
site_075,258,-4.1639,1.4171,2.7775
site_042,186,-4.0546,1.154,2.2619
site_118,205,-3.8337,2.164,4.2414
site_012,174,-3.0078,0.5901,1.1566
site_122,300,-2.9594,0.884,1.7326
site_090,252,-2.2961,1.8092,3.5461
site_115,72,-1.9351,2.9986,5.8773
site_128,287,-1.5261,0.1969,0.3858
site_085,296,-1.4353,1.7694,3.4681
site_014,186,-1.2259,0.5597,1.0969
site_126,282,-0.7608,0.4935,0.9672
site_016,190,-0.7232,0.6636,1.3007
site_008,309,-0.6332,0.747,1.4642
site_077,309,0.0,0.0,0.0
site_052,218,0.0,0.0,0.0
site_059,306,0.0,0.0,0.0
site_082,305,0.0,0.0,0.0
site_084,310,0.0,0.0,0.0
site_108,204,0.0,0.0,0.0
site_136,306,0.0275,0.1036,0.2031
site_020,304,0.0412,1.2108,2.3731
site_034,285,0.7789,1.7649,3.4593
site_080,309,0.8794,1.2397,2.4298
site_079,306,1.1309,1.2517,2.4533
site_040,201,1.4691,1.4307,2.8041
site_013,263,2.1485,0.5714,1.1199
site_101,298,2.3134,0.9177,1.7987
site_123,266,2.9978,1.2686,2.4864
site_088,300,3.3441,3.189,6.2504
site_130,308,3.784,1.1541,2.262
site_043,301,4.1802,1.2509,2.4517
site_039,251,4.3363,0.9012,1.7664
site_004,304,4.554,1.356,2.6577
site_011,307,4.6733,1.3167,2.5808
site_131,279,4.7664,0.9219,1.8068
site_074,309,6.5799,1.6462,3.2265
site_006,152,6.7234,1.3627,2.6709
site_089,297,7.2142,2.6418,5.1779
site_120,256,7.3382,1.0714,2.0999
site_133,301,8.492,1.3632,2.6718
site_029,307,8.7949,1.5029,2.9456
site_076,303,9.6375,1.6269,3.1888
site_091,305,9.8401,3.1385,6.1514
site_078,309,10.4992,1.6882,3.3088
site_024,305,10.5278,1.6259,3.1869
site_087,303,10.9455,2.8266,5.5401
site_001,299,11.4351,2.5023,4.9044
site_019,310,13.0526,1.9606,3.8428
site_106,241,14.7224,1.8696,3.6645
site_003,248,15.2104,2.9104,5.7043
site_095,294,16.0668,3.5456,6.9493
site_018,149,17.4193,2.6223,5.1398
site_094,305,17.5256,3.7889,7.4262
site_132,300,18.017,1.4365,2.8155
site_032,219,19.6112,1.5152,2.9697
site_021,165,20.5541,2.3272,4.5612
site_005,259,20.9988,2.7998,5.4875
site_083,307,21.5786,1.1844,2.3215
site_026,286,22.3617,2.3655,4.6363
site_027,305,33.4069,2.8519,5.5898
site_124,303,34.6801,1.585,3.1067
site_057,254,34.6806,2.5119,4.9233
site_002,295,34.7741,3.9826,7.8059
site_031,307,34.8261,2.6563,5.2064
site_015,286,36.0993,3.3416,6.5494
site_127,307,37.1596,1.7138,3.3591
site_030,307,44.0221,2.4208,4.7448
site_017,304,46.2255,3.9696,7.7804
site_033,18,47.3184,12.6635,24.8204
site_038,305,48.6854,3.0267,5.9323
site_093,306,49.5579,5.1502,10.0944
site_109,258,51.43,4.2676,8.3646
site_023,306,53.9653,3.8355,7.5176
site_125,256,60.7573,3.2921,6.4524
site_092,295,68.8593,6.3274,12.4017
site_037,306,69.8584,3.7541,7.3581
site_022,299,73.6201,5.2607,10.3109
site_025,289,78.6358,6.0929,11.942
site_028,252,78.9453,6.906,13.5358
