site_id,state,project_name,n_months,mean_target_diff_mm,mean_control_diff_mm,mean_gap_diff_mm,mean_abs_target_diff_mm,mean_abs_control_diff_mm,mean_abs_gap_diff_mm,rmse_target_diff_mm,rmse_control_diff_mm,rmse_gap_diff_mm
site_037,colorado,,276,53.88579081485508,-4.045311405434783,57.93110222028986,54.568071967028985,11.223560478623188,59.97295838913043,66.66524634704639,14.762118517101428,72.76308189467579
site_125,utah,Alta/Snowbird Ski Resort Cloud Seeding Program,276,47.24616192862319,-5.411861720108695,52.658023648731884,48.71975944601449,11.198957601268114,54.34086606394927,62.96108778422095,14.971324582024273,70.52527026853281
site_092,texas,,276,14.098989748550725,4.888746958804347,9.210242789746378,41.04138229492754,23.849981688297103,48.80722043467391,62.70522819981021,35.6074653016533,72.87377684266572
site_093,texas,,276,7.886247808695652,4.888746958804347,2.9975008498913036,35.59400016231884,23.849981688297103,44.57052489844203,53.354682273521775,35.6074653016533,64.01055198089038
site_030,colorado,,276,-11.962509603260868,-8.53494185036232,-3.42756775289855,33.90501967572464,12.797287393840579,40.52427904130435,51.82549487354224,16.394256476777734,58.1353370948388
site_001,california,,276,17.14043493728587,-16.38454298878261,33.52497792606848,24.684213029888042,17.465335162514496,40.48126953904022,51.95095711517845,30.228802542040537,75.49181262062143
site_094,texas,,276,-0.6429504083333338,4.888746958804347,-5.5316973671376815,29.406819226449276,23.849981688297103,39.0204723806884,43.80979368700682,35.6074653016533,56.76510719575493
site_042,colorado,,276,-41.165218510144925,-2.4680796115942027,-38.697138898550726,41.7524832057971,9.134463377536232,38.96320995652173,54.71707997731466,12.277078707559532,47.59346582147773
site_038,colorado,,276,32.15514305036232,-4.045311405434783,36.2004544557971,33.24487630036232,11.223560478623188,38.95364920652174,41.47966492407132,14.762118517101428,47.88900070652129
site_095,texas,,276,-3.447132553260869,4.888746958804347,-8.335879512065217,28.87669804601449,23.849981688297103,38.204450951702896,40.81412453447332,35.6074653016533,53.30118593535587
site_109,texas,,276,6.875825294202899,4.888746958804347,1.9870783353985508,28.683911506521742,23.849981688297103,36.460488856413036,38.4612739535178,35.6074653016533,48.2089520230782
site_002,california,,276,43.665572511829716,9.137078060626811,34.528494451202896,46.38949629809782,16.036654265315217,36.12659797847101,88.14982372808642,32.38411221437041,64.93005857390557
site_091,texas,,276,-4.339816183695652,1.7450009743840582,-6.08481715807971,28.84143964818841,25.095325334311593,35.21282101655797,40.99003381723539,36.65112206161483,50.871259038308736
site_033,colorado,Eastern San Juan Mountains Cloud Seeding Program,276,17.983012882608698,-3.0740500326086955,21.05706291521739,38.48017945797101,7.9592776449275355,34.7535677731884,48.75257661873227,10.736394435528169,43.796269342864235
site_098,texas,,276,2.309131967246377,2.5516866949275374,-0.24255472768116024,22.124882100144927,28.275170302173915,34.54197020449275,33.227178800221864,42.00367221122239,50.557722118042285
site_022,california,,276,11.789976156050725,-16.38454298878261,28.174519144833333,19.045905530905795,17.465335162514496,34.06490711218116,29.33744863856563,30.228802542040537,54.35285295828564
site_088,texas,,276,-1.481056685869565,4.888746958804347,-6.369803644673913,24.267085544565216,23.849981688297103,34.03434781641304,33.635998573741546,35.6074653016533,47.78566221776886
site_025,california,,276,11.774297032597826,-16.38454298878261,28.158840021380435,18.559613576822464,17.465335162514496,32.72034857622826,30.462015518421385,30.228802542040537,55.69522151071124
