site_id,gap_no_seeding,gap_during_seeding,within_site_did,n_seeded,n_unseeded
site_000,-21.888438926663042,,,0,276
site_001,-21.132965745250953,-30.72907256615385,-9.596106820902897,13,263
site_002,-2.3840201497374514,-7.179259847058822,-4.795239697321371,17,259
site_003,3.0831559646744187,5.860829786885246,2.777673822210827,61,215
site_004,-17.149406762692028,,,0,276
site_005,3.0816601207312777,5.165586648979592,2.0839265282483144,49,227
site_006,4.177392694547619,4.404064889220001,0.22667219467238198,150,126
site_007,-22.290097934251047,-23.346772082675677,-1.05667414842463,37,239
site_008,8.829932621608695,,,0,276
site_009,-31.873803367972222,-33.639629385906254,-1.7658260179340317,96,180
site_010,-14.905691048566176,-26.94917422215,-12.043483173583823,140,136
site_011,0.02355706961623647,-3.9981819999999986,-4.021739069616235,5,271
site_012,0.0,0.0,0.0,138,138
site_013,4.943806489879311,10.959039895454545,6.015233405575234,44,232
site_014,-2.442804703493333,-6.597919581984127,-4.155114878490794,126,150
site_015,30.136043664808,39.761617645,9.625573980192001,26,250
site_016,2.568650496668831,1.1849523681065572,-1.3836981285622736,122,154
site_017,40.76312567239179,87.3446473375,46.58152166510822,8,268
site_018,15.716153683906978,24.629820785816325,8.913667101909347,147,129
site_019,-7.941525670503623,,,0,276
site_020,-4.195099241111941,-17.745254467500004,-13.550155226388064,8,268
site_021,16.88535165666216,16.3723457259375,-0.5130059307246597,128,148
site_022,44.7069869698327,54.96538526923078,10.258398299398081,13,263
site_023,24.683818539896297,39.577797749999995,14.893979210103698,6,270
site_024,14.585221995249071,24.067743642857145,9.482521647608074,7,269
site_025,50.489033705015814,79.30312007695652,28.814086371940704,23,253
site_026,23.610191562344,34.35252315076922,10.742331588425223,26,250
site_027,50.65644988972491,137.9285497142857,87.2720998245608,7,269
site_028,59.710993027709094,89.25821091517857,29.547217887469472,56,220
site_029,-4.364506109594096,7.036209799999997,11.400715909594094,5,271
site_030,47.79424702878229,23.8231666,-23.971080428782287,5,271
site_031,35.57723922767527,23.987198139999997,-11.590041087675274,5,271
site_032,18.406017524590165,14.965444677419354,-3.4405728471708112,93,183
site_033,28.903421299999998,20.211742007518797,-8.6916792924812,266,10
site_034,16.09443764136546,34.962477355555556,18.868039714190097,27,249
site_035,-15.994445342364532,9.630980749315068,25.6254260916796,73,203
site_036,-21.434767791561182,-10.935318364102566,10.499449427458616,39,237
site_037,12.611866015555554,40.08626938333333,27.474403367777775,6,270
site_038,12.971144207806692,22.354806942857145,9.383662735050454,7,269
site_039,8.34773956511628,7.45085803442623,-0.8968815306900497,61,215
site_040,-15.78757935,19.854615083333332,35.64219443333333,96,180
site_041,6.559344436231884,,,0,276
site_042,34.020751991573036,36.069894346938774,2.0491423553657384,98,178
site_043,20.42930029021739,,,0,276
site_044,-5.436585251826483,-3.769311298245613,1.66727395358087,57,219
site_045,-24.668655712698413,-29.47032490416667,-4.801669191468257,24,252
site_046,-22.021540929554657,-38.32004789655172,-16.298506966997063,29,247
site_047,-28.04376806139706,-53.2069195,-25.163151438602938,4,272
site_048,-22.71032930801695,-22.013915325,0.6964139830169493,40,236
site_049,-38.20459174596642,-40.354967425,-2.15037567903358,8,268
site_050,-36.429215260235054,-56.71749188,-20.288276619764943,25,251
site_051,-37.00549966181482,-41.30462040916667,-4.29912074735185,60,216
site_052,0.0,0.0,0.0,75,201
site_053,-44.1991210871,-34.91399036666667,9.285130720433337,36,240
site_054,-29.5286264375,-50.494249182692315,-20.965622745192313,52,224
site_055,-27.622099267037036,-29.369354083333334,-1.747254816296298,6,270
site_056,-19.59880800522388,-27.117610750000004,-7.518802744776124,8,268
site_057,14.086487370642201,19.47985022413793,5.393362853495729,58,218
site_058,-18.093670451041664,-26.049659345238098,-7.955988894196434,84,192
site_059,0.0,0.0,0.0,6,270
site_060,-3.0435379439560433,12.451172,15.494709943956043,3,273
site_074,7.6968643945054955,14.909743,7.212878605494505,3,273
site_075,-3.3103926752252253,-18.80031188888889,-15.489919213663663,54,222
site_076,10.669739898518518,-4.549661166666663,-15.219401065185181,6,270
site_077,0.0,0.0,0.0,3,273
site_078,9.74996073113553,22.283553333333334,12.533592602197803,3,273
site_079,-2.5745084095238098,1.162212999999997,3.736721409523807,3,273
site_080,-2.6093716622710623,4.334769000000001,6.944140662271064,3,273
site_081,-4.45917058051948,-8.758884333333333,-4.299713752813853,45,231
site_082,0.0,0.0,0.0,7,269
site_083,37.22958625344203,,,0,276
site_084,0.0,,,0,276
site_085,1.2054835980149816,-0.44245200000000057,-1.6479355980149821,9,267
site_086,-5.648725017884615,-6.1219939375,-0.47326891961538475,16,260
site_087,15.931240203483144,13.921528000000002,-2.009712203483142,9,267
site_088,12.161850786477274,28.29535783333333,16.133507046856057,12,264
site_089,12.935813801532568,2.8832427066666697,-10.052571094865899,15,261
site_090,0.6320726324074067,7.3806438466666675,6.748571214259261,60,216
site_091,17.78890454583643,35.87123271428572,18.082328168449287,7,269
site_092,62.1945180676834,45.786464117647064,-16.408053950036333,17,259
site_093,46.90851624492593,11.224428416666663,-35.684087828259266,6,270
site_094,25.91224584992565,28.75450574285714,2.842259892931491,7,269
site_095,26.479864884224806,16.184911927777776,-10.29495295644703,18,258
site_096,-24.057017696735848,-14.13258657909091,9.924431117644938,11,265
site_097,-24.858893802980393,-22.40916656190476,2.4497272410756317,21,255
site_098,-31.14670240676923,-35.73024174375,-4.58353933698077,16,260
site_099,-24.13131319062992,-27.414451600000003,-3.283138409370082,22,254
site_100,-8.120723480326086,,,0,276
site_101,-0.11303225522137407,9.484835364285713,9.597867619507086,14,262
site_102,-32.05805388246268,-35.3157522625,-3.2576983800373185,8,268
site_103,-4.488400575261195,2.0184523625,6.506852937761195,8,268
site_104,-31.910561784328358,-40.25673755,-8.346175765671639,8,268
site_105,-4.31050545988889,-3.8178768499999975,0.4926286098888921,6,270
site_106,15.673983751707317,8.936855208450703,-6.737128543256613,71,205
site_107,-3.1713613089298898,-3.2752994000000015,-0.10393809107011176,5,271
site_108,0.0,0.0,0.0,96,180
site_109,45.93947132252252,40.61564698759259,-5.323824334929931,54,222
site_110,-44.24003091619231,-35.10868450625,9.13134640994231,16,260
site_111,-24.15874549184426,-22.482752662499998,1.6759928293442634,32,244
site_112,-11.04380402055762,-19.663947571428572,-8.620143550870953,7,269
site_113,-11.45459305401487,-3.8779118571428595,7.576681196872011,7,269
site_114,-13.692940634888888,-25.29652916666667,-11.603588531777781,6,270
site_115,-4.01597527638889,-5.191362076666667,-1.175386800277777,240,36
site_116,-3.388239599889299,-9.498977419999997,-6.110737820110698,5,271
site_117,-14.961764481557971,,,0,276
site_118,-2.1995512410055866,-9.428869668041237,-7.2293184270356505,97,179
site_119,-22.44168741551852,-23.172696616666666,-0.7310092011481473,6,270
site_120,-2.132257993559322,2.0963426650000008,4.228600658559323,40,236
site_121,-22.104542487522522,-34.13765525740741,-12.033112769884887,54,222
site_122,-4.476865124507575,0.8927975833333323,5.369662707840908,12,264
site_123,18.220171500205762,21.166858878787878,2.9466873785821157,33,243
site_124,11.286974896067415,12.511995444444445,1.2250205483770298,9,267
site_125,11.170668377901787,12.000010376923075,0.8293419990212882,52,224
site_126,0.0,0.0,0.0,14,262
site_127,31.021065367343176,19.4992066,-11.521858767343176,5,271
site_128,0.0,0.0,0.0,25,251
site_129,-7.705371953232759,-25.89197606136364,-18.18660410813088,44,232
site_130,-3.872405154852941,-7.512330000000001,-3.6399248451470605,4,272
site_131,0.9606091030864201,4.787329363636363,3.8267202605499433,33,243
