site_id,gap_no_seeding,gap_during_seeding,within_site_did,n_seeded,n_unseeded
site_000,-9.193478160457516,23.082115000000005,32.27559316045752,6,306
site_001,11.43513089068194,30.376153846153844,18.941022955471905,13,299
site_002,34.77412065542373,39.84029352941177,5.066172873988037,17,295
site_003,15.210443723588709,31.87656625234375,16.66612252875504,64,248
site_004,4.554049916743421,19.863985625,15.309935708256582,8,304
site_005,20.998803077413125,66.23016882452829,45.23136574711516,53,259
site_006,6.723402881380263,8.041183826125,1.3177809447447366,160,152
site_007,-12.7433269135206,-18.092660842222223,-5.349333928701624,45,267
site_008,-0.6332408183171522,3.383031999999998,4.01627281831715,3,309
site_009,-19.535606014583337,-20.1044375,-0.5688314854166627,96,216
site_010,-12.803241867213579,-21.699174381160002,-8.895932513946423,150,162
site_011,4.6733321918566775,25.4078,20.734467808143325,5,307
site_012,-3.007760384253448,-7.658852141304347,-4.651091757050899,138,174
site_013,2.1485310781368816,3.7761367530612255,1.627605674924344,49,263
site_014,-1.2259226573118278,-6.560976952380952,-5.335054295069124,126,186
site_015,36.09932713422937,48.16755752307692,12.068230388847553,26,286
site_016,-0.7232291531052638,-1.6535819591803278,-0.930352806075064,122,190
site_017,46.22545900592105,112.471125,66.24566599407895,8,304
site_018,17.419336218912754,43.217479090797546,25.798142871884792,163,149
site_019,13.052580325935484,0.6735500000000005,-12.379030325935483,2,310
site_020,0.04119966263157929,-9.46075,-9.50194966263158,8,304
site_021,20.554144222060604,36.81343455442177,16.259290332361164,147,165
site_022,73.6200706426087,93.96187569230769,20.34180504969899,13,299
site_023,53.965305774215686,84.67416666666666,30.70886089245098,6,306
site_024,10.52779991695082,23.404285714285713,12.876485797334894,7,305
site_025,78.63575029391004,109.05539130434782,30.419641010437786,23,289
site_026,22.361740626363634,34.335950000000004,11.97420937363637,26,286
site_027,33.406850961439346,125.84514285714285,92.4382918957035,7,305
site_028,78.94531250313493,121.92975530683334,42.984442803698414,60,252
site_029,8.79489516612378,13.868799999999998,5.0739048338762185,5,307
site_030,44.02208871009772,51.927600000000005,7.905511289902286,5,307
site_031,34.8260857062215,44.178,9.3519142937785,5,307
site_032,19.611211105479452,40.38631522580645,20.775104120326997,93,219
site_033,47.31838277777777,41.647756117687074,-5.670626660090697,294,18
site_034,0.7789098940701756,12.465185185185184,11.68627529111501,27,285
site_035,-14.131660916143499,-13.599245921348315,0.5324149947951842,89,223
site_036,-23.44047567692308,-25.550615384615384,-2.110139707692305,39,273
site_037,69.85840851473857,114.35566666666666,44.497258151928094,6,306
site_038,48.68537069970492,58.16271428571429,9.477343586009368,7,305
site_039,4.336320237051792,9.427634606557376,5.091314369505584,61,251
site_040,1.4691448482587064,11.6919570990991,10.222812250840395,111,201
site_041,-8.915978239855072,-10.842393999999999,-1.926415760144927,36,276
site_042,-4.054589110215054,-3.852947857142857,0.20164125307219694,126,186
site_043,4.180165877076412,-13.501254545454545,-17.681420422530955,11,301
site_044,-6.795303345679012,-16.247856536231883,-9.45255319055287,69,243
site_045,-29.740311998611112,-32.48166666666667,-2.741354668055557,24,288
site_046,-28.31534473321555,-59.91575862068966,-31.600413887474108,29,283
site_047,-29.23269049448052,-56.65375,-27.421059505519484,4,308
site_048,-9.980369530294118,-12.625612525,-2.6452429947058818,40,272
site_049,-29.68594277394558,-34.2103329,-4.524390126054417,18,294
